fighters_id,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,fighter_name
2,0.11040792,0.51137143,0.0,0.5304325,0.70226765,0.0,0.0,0.16809893,0.4301406,0.7454363,0.64880466,0.0,0.0835772,0.23836339,0.39935848,0.0,0.6841707,0.5752183,0.0,0.0,0.0,0.62187433,0.3347417,0.19828993,0.6535816,0.0,0.37939757,0.5126408,0.0,0.0,0.0,0.22392745,Danny Abbadi
4,0.1655056,0.8089315,0.0,0.2273398,0.8894019,0.0,0.1530786,0.018329145,0.064351104,0.954271,1.0351621,0.0,0.0,0.0,0.6806224,0.02716699,1.0422469,0.63230157,0.0,0.0,0.0,0.15496744,0.19251448,0.121335655,0.7397969,0.0,0.36995015,0.8299393,0.0,0.0,0.0,0.07300077,David Abbott
5,0.2656034,0.49592268,0.0,0.17917158,0.0,0.34170765,0.0,0.0,0.0,1.0965643,0.41615918,0.0,0.12600942,0.0,0.0,0.6732644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3093673,0.0,0.0,0.15213977,0.6546005,0.0,0.40879124,0.0,0.0,Hamdy Abdelwahab
6,0.14503387,0.0,0.19228631,0.22491622,0.0,0.5329084,0.0,0.06470424,0.0,0.0,0.0,0.0,0.38506597,0.0,0.0,0.0,0.0,0.0,0.0,0.043473512,0.0,0.0,0.0011984184,0.0769276,0.0,0.0,0.055958085,0.0,0.0,0.25341356,0.4357766,0.056749396,Mansur Abdul-Malik
7,0.03539774,0.074462764,0.058609236,0.12585862,0.10520888,0.24125546,0.038513724,0.025511075,0.18908976,0.25589368,0.2991214,0.0,0.11224521,0.04340622,0.056257155,0.16025643,0.1385261,0.12319625,0.014959588,0.041884348,0.12872007,0.20186907,0.041593503,0.042786803,0.11078632,0.011443436,0.2103224,0.17533726,0.0046488615,0.0,0.024258632,0.05906373,Shamil Abdurakhimov
9,0.44482875,0.11812862,0.08761289,0.21436708,0.27015778,0.0011426682,0.2595571,0.31137052,0.0,0.58014935,0.47029603,0.0,0.2875366,0.21462607,0.0,0.14283186,0.0,0.17172901,0.18157955,0.17957754,0.33472311,0.063762,0.23506631,0.34890345,0.07547382,0.29283994,0.18246512,0.3787193,0.10710016,0.021196634,0.0,0.328228,Daichi Abe
10,0.15670455,0.06253118,0.0,0.2715432,0.16314633,0.18766502,0.040688775,0.14688346,0.18770322,0.2466913,0.19378492,0.0,0.13400774,0.07377428,0.07288998,0.2609656,0.1253774,0.0861717,0.0,0.091425136,0.0015392024,0.4480484,0.24310806,0.24198379,0.0642486,0.07749587,0.059642248,0.12590656,0.08036544,0.056361713,0.06972546,0.34033746,Papy Abedi
11,0.5081166,0.019426262,0.018803146,0.77572954,0.0,0.26727098,0.22999144,0.4127537,0.16243199,0.3639292,0.04106475,0.0,0.20788588,0.14206383,0.0,0.4837157,0.0,0.07099275,0.0,0.0,0.0,0.6075404,0.7653966,0.43454942,0.27221745,0.0,0.111658394,0.03602352,0.0,0.25609577,0.0,0.53146094,Ricardo Abreu
12,0.140646,0.2521058,0.0,0.0,0.40011284,0.0,0.12177163,0.07021518,0.18982323,0.33686027,0.38315034,0.0,0.082653604,0.016678305,0.15763892,0.0,0.475078,0.31125098,0.0,0.0,0.19329955,0.18397605,0.0,0.0892021,0.15868342,0.13545531,0.18321888,0.27529156,0.029794818,0.0,0.0,0.08280496,Klidson Abreu
16,0.0,0.0,0.0,0.6572926,0.0,0.30976966,0.6686481,0.0,0.514115,0.0,0.0,0.0,0.0,0.0,0.0,1.0771729,0.0,0.0,0.0,0.0,0.0,0.9334451,0.29161972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5698249,Scott Adams
17,0.19884244,0.0303961,0.0,0.22649041,0.10704165,0.34089458,0.0904291,0.12368174,0.15482971,0.3182017,0.20408392,0.0,0.13443007,0.11214426,0.0,0.18882093,0.018206595,0.18078077,0.0,0.08760118,0.16369857,0.13161518,0.13058534,0.18793431,0.14041737,0.13698965,0.19233991,0.07630532,0.0,0.21817185,0.0,0.18775263,Juan Adams
19,0.05507955,0.06515685,0.0,0.10295217,0.13765173,0.20931792,0.08209729,0.0,0.017416112,0.34475493,0.35649496,0.0,0.008155373,0.00575984,0.0,0.3743177,0.02255367,0.0,0.0,0.0,0.20901527,0.0,0.0,0.0,0.0,0.0,0.03422399,0.1989757,0.0,0.0,0.0,0.06562082,Zarrukh Adashev
20,0.09745225,0.25183204,0.05513738,0.20522195,0.100199364,0.15270308,0.044370387,0.21915174,0.13168465,0.581851,0.18260032,0.0055499664,0.31513214,0.28281647,0.053174444,0.15622534,0.11594102,0.11475858,0.0612873,0.11345846,0.1577709,0.15184404,0.15191372,0.30322692,0.1214213,0.099358015,0.27674815,0.174593,0.07742521,0.023013076,0.005673263,0.32179275,Israel Adesanya
