stat_id,strikes_per_minute,strike_accuracy,strikes_absorbed_per_minute,strike_defense,takedown_average,takedown_accuracy,takedown_defense,submission_average,fighters_id
324,2.88,0.39,3.65,0.58,0.28,0.22,0.72,0.4,324
325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325
326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326
327,1.0,0.27,3.26,0.36,0.84,0.4,0.16,1.7,327
328,4.56,0.75,1.27,0.28,0.0,0.0,0.0,0.0,328
329,2.78,0.52,2.78,0.37,4.17,0.1,0.5,4.2,329
330,3.58,0.36,4.81,0.62,1.76,0.4,0.0,0.0,330
331,4.42,0.46,3.07,0.59,3.89,0.4,0.82,1.1,331
332,2.92,0.61,2.68,0.46,3.06,0.54,0.0,3.1,332
333,3.12,0.42,4.04,0.55,1.62,0.22,0.28,0.5,333
334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334
335,0.27,0.12,6.27,0.28,0.0,0.0,0.0,0.0,335
336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336
337,1.76,0.36,4.62,0.47,5.47,0.4,0.0,2.7,337
338,0.92,0.8,0.92,0.33,6.87,0.1,0.0,3.4,338
339,4.4,0.46,6.8,0.67,2.0,0.28,0.0,1.0,339
340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340
341,4.36,0.41,4.45,0.58,0.64,0.28,0.61,0.3,341
342,6.15,0.29,10.0,0.43,0.0,0.0,0.0,0.0,342
343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343
344,2.33,0.56,3.25,0.59,1.73,0.75,0.1,0.0,344
345,4.31,0.49,5.39,0.45,0.0,0.0,0.0,0.0,345
346,3.6,0.51,1.83,0.52,2.85,0.4,0.75,0.0,346
347,1.11,0.57,1.64,0.54,2.65,0.63,0.14,0.0,347
348,3.81,0.48,4.15,0.53,0.31,0.7,0.71,0.6,348
349,3.71,0.6,3.36,0.57,0.0,0.0,0.1,0.0,349
350,1.6,0.62,7.06,0.35,0.0,0.0,0.5,0.0,350
351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351
352,3.93,0.36,3.67,0.56,0.48,0.14,0.61,0.5,352
353,9.35,0.46,14.83,0.35,0.0,0.0,0.0,0.0,353
354,3.91,0.51,4.56,0.33,2.41,0.37,0.1,0.0,354
355,4.33,0.38,2.71,0.65,1.05,0.43,0.63,0.3,355
356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356
357,0.29,0.16,0.57,0.33,0.0,0.0,0.0,0.0,357
358,4.15,0.66,1.51,0.46,14.15,0.33,0.0,0.0,358
359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359
360,3.41,0.5,2.91,0.53,1.09,0.5,0.68,0.3,360
361,1.06,0.47,2.6,0.45,0.48,0.33,0.28,6.2,361
362,4.55,0.35,3.59,0.65,0.93,0.5,0.76,0.7,362
363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363
364,2.91,0.61,2.55,0.46,0.0,0.0,0.75,0.0,364
365,3.7,0.49,3.13,0.55,4.0,0.33,0.42,0.0,365
366,4.3,0.47,4.06,0.49,2.17,0.37,0.68,1.4,366
367,5.27,0.39,5.27,0.59,0.0,0.0,0.1,0.0,367
368,5.24,0.44,4.21,0.59,1.86,0.31,0.8,0.8,368
369,4.11,0.44,3.19,0.66,1.85,0.36,0.63,0.3,369
370,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370
371,3.54,0.5,1.91,0.58,5.69,0.53,0.31,0.0,371
372,3.02,0.53,1.86,0.46,1.81,0.27,0.83,0.7,372
373,2.31,0.43,2.1,0.43,0.0,0.0,0.55,0.6,373
374,1.82,0.28,5.18,0.5,0.0,0.0,0.0,0.0,374
375,0.0,0.0,52.5,0.12,0.0,0.0,0.0,0.0,375
376,2.06,0.44,1.74,0.34,2.44,0.42,0.0,1.6,376
377,2.34,0.43,2.32,0.6,3.65,0.36,0.31,1.3,377
378,2.63,0.31,5.11,0.58,1.14,0.15,0.62,0.0,378
